바코드,이름,판매가격,파싱문자열,회사코드,품목코드
01088000156009101,히딩크프리미엄 OK동전통증패치 105매,"12,000",00156009101,0015,6009
0108800026200031,노즈스위퍼 코세척기,"9,000",0026200031,0026,2000
0108800026200048,노즈스위퍼 코세정분말 60P,"6,000",0026200048,0026,2000
0108800048007793,하이맘밴드 에이지썬프로텍션 2매,"9,000",0048007793,0048,0077
0108800048010250,하이맘번 잘라쓰는타입 1매(7 x 10cm),"10,000",0048010250,0048,0102
0108800048012858,하이맘폼 에이프리 잘라쓰는타입 1매,"9,000",0048012858,0048,0128
0108800243820142,무통사혈침(DE-ST01),"5,000",0243820142,0243,8201
0108800516000417,드리클로 20ml,"11,000",0516000417,0516,0004
0108800742000212,부스코판 플러스정 10정,"3,300",0742000212,0742,0002
0108800742000519,오펠 뮤코펙트정 10T,"3,000",0742000519,0742,0005
0108800742000625,둘코락스에스 5mg 40T,"11,000",0742000625,0742,0006
0108800742000816,둘코락스좌약 5S 5개,"3,000",0742000816,0742,0008
0108800742000830,둘코락스좌약10mg(신) 50S,"15,000",0742000830,0742,0008
01088060520040221727121410G8900521G890050000001479,조아바이톤-에이 20ml x 30P,"140,000",605200402217271214108900521890050000001479,6052,0040
010880605242891017,에스리버(180T*2EA),"63,000",6.05243E+11,6052,4289
0108806218001912,에치탑캡슐,"2,000",6218001912,6218,0019
0108806218004517,[파비스] 아루진 10T,"1,500",6218004517,6218,0045
0108806218039410,파비시드10정[광동],"2,000",6218039410,6218,0394
0108806265003112,노스카나 20g,"17,000",6265003112,6265,0031
0108806265018215,애크린겔 20g,"10,000",6265018215,6265,0182
0108806265021512,노스카딘 겔 18g,"12,000",6265021512,6265,0215
0108806275002518,안티렌크림 30g,"4,000",6275002518,6275,0025
0108806409047910,프틴 크림 30g,"5,000",6409047910,6409,0479
0108806409048313,반질크림(우레아) 60g,"4,000",6409048313,6409,0483
0108806417011514,알콤정 4T,"3,000",6417011514,6417,0115
0108806417021629,[일양] 진코텔정 200T,"40,000",6417021629,6417,0216
0108806417025016,프로엑스피 20ml x 5V,"20,000",6417025016,6417,0250
0108806417028222,속콜큐어 캡슐 10C,"2,000",6417028222,6417,0282
0108806417042310,속콜코프엘 10C,"2,000",6417042310,6417,0423
0108806417043713,혈강고 6P,"3,000",6417043713,6417,0437
0108806417046424,노루모 듀얼액션 10ml x 4P,"3,000",6417046424,6417,0464
0108806417046448,노루모 듀얼액션 10ml x 10P,"7,000",6417046448,6417,0464
0108806417047827,속콜기가 10C,"2,000",6417047827,6417,0478
0108806417048619,노루모 에프 내복액 75ml,700,6417048619,6417,0486
0108806417051022,노루모 에스 15P,"3,000",6417051022,6417,0510
0108806417051114,노루모 에이스산 250g,"4,500",6417051114,6417,0511
0108806417051510,보나링 츄어블 4T,"2,000",6417051510,6417,0515
0108806417052616,두피나액 30ml,"5,000",6417052616,6417,0526
0108806417057710,황력골드 100ml,"2,000",6417057710,6417,0577
0108806417057819,애린쏙 10T,"2,000",6417057819,6417,0578
0108806417058311,아네린 10T,"2,000",6417058311,6417,0583
0108806417063117,카네클로 질정 6T,"2,500",6417063117,6417,0631
0108806417063810,크로아존엔정 10T,"2,000",6417063810,6417,0638
0108806417063919,장제로큐 장용정 20T,"2,500",6417063919,6417,0639
0108806417064725,위제로 유쾌 12g x 3P,"3,000",6417064725,6417,0647
0108806417064817,알레드제로 120mg 10T,"3,000",6417064817,6417,0648
0108806418051915,센스리베 21T,"7,000",6418051915,6418,0519
0108806418057535,레돌민 20T,"12,000",6418057535,6418,0575
0108806418062638,아이톡 0.5ml x 30관,"7,000",6418062638,6418,0626
