바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,상태,품목기준코드,API상태,효능,사용법,주의사항경고,상호작용,부작용,보관법
01088000156009101,히딩크프리미엄 OK동전통증패치 105매,"12,000",00156009101,0015,6009,88000156009101,88000156009101,00156009,OK,,NO_ITEMSEQ,,,,,,
0108800026200031,노즈스위퍼 코세척기,"9,000",0026200031,0026,2000,8800026200031,8800026200031,00262000,OK,,NO_ITEMSEQ,,,,,,
0108800026200048,노즈스위퍼 코세정분말 60P,"6,000",0026200048,0026,2000,8800026200048,8800026200048,00262000,OK,,NO_ITEMSEQ,,,,,,
0108800048007793,하이맘밴드 에이지썬프로텍션 2매,"9,000",0048007793,0048,0077,8800048007793,8800048007793,00480077,OK,,NO_ITEMSEQ,,,,,,
0108800048010250,하이맘번 잘라쓰는타입 1매(7 x 10cm),"10,000",0048010250,0048,0102,8800048010250,8800048010250,00480102,OK,,NO_ITEMSEQ,,,,,,
0108800048012858,하이맘폼 에이프리 잘라쓰는타입 1매,"9,000",0048012858,0048,0128,8800048012858,8800048012858,00480128,OK,,NO_ITEMSEQ,,,,,,
0108800243820142,무통사혈침(DE-ST01),"5,000",0243820142,0243,8201,8800243820142,8800243820142,02438201,OK,,NO_ITEMSEQ,,,,,,
0108800516000417,드리클로 20ml,"11,000",0516000417,0516,0004,8800516000417,8800516000417,05160004,OK,199806484,OK,"이 약은 겨드랑이, 손, 발의 다한증(땀과다증)에 사용합니다.",저녁에 적용 부위에 적당량을 바른 후 다음날 아침 물로 씻어 제거합니다.발한(땀이 남)이 멈출 때까지는 매일 밤 한번씩 사용하고 증상이 호전(나아짐)될 경우에는 일주일에 1~2회로 줄입니다.,,,"매우 흔하게 일시적 적용부위 자극감이나 발적(충혈되어 붉어짐), 드물게 피부염을 포함한 적용부위 과민반응, 통증, 가려움증, 홍반, 발진 및 피부 작열감(화끈감) 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 25℃ 이하에서 보관하십시오.
0108800742000212,부스코판 플러스정 10정,"3,300",0742000212,0742,0002,8800742000212,8800742000212,07420002,OK,200901257,OK,"이 약은 위장관계 질환의 발작성 동통 또는 담도계, 비뇨기계, 월경곤란증 등 여성 생식기계의 기능장애 및 경련성 동통에 사용합니다.
","성인은 1회 1~2정씩, 1일 3회 복용합니다.

1일 최대용량은 6정을 초과하지 마십시오.
","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.
","바르비탈계 약물, 삼환계 항우울제, 알코올, 지도부딘과 함께 복용하지 마십시오.

와파린, 플루클록사실린, 사환계 항우울약, 항히스타민제, 항정신병약, 퀴니딘, 아만타딘, 디소피라미드 및 기타 항콜린약물(예: 티오트로피움, 이프라트로피움, 아트로핀 유사 화합물), 메토클로프라미드, 베타-효능약, 프로판텔린, 클로람페니콜, 프로베네시드, 콜레스티라민과 함께 복용 시 의사 또는 약사와 상의하십시오.
","혈소판감소증, 무과립구증, 청색증, 백혈구감소증, 과립구감소, 용혈성(적혈구 파괴성)빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 홍조, 피부 반응, 땀분비이상, 가려움증, 피부건조 (땀분비억제영향), 두드러기, 홍반(붉은 반점), 쇼크를 포함한 혈압저하, 아나필락시스성 쇼크, 아나필락시스성 반응, 약물 발진, 호흡곤란, 과민증, 혈관 부종, 발진, 피부발진, 부종(후두, 눈꺼풀, 입술 등), 가슴답답함, 수족냉증(손발이 차가움), 식은 땀, 숨가쁨, 화상모양 수포(물집), 알레르기 반응, 피부점막안증후군(스티븐스-존슨 증후군), 독성표피괴사용해(리엘 증후군), 두근거림, 빈맥(빠른 맥), 현기증, 피로감, 기관지경련(특히, 기관지 천식이나 알레르기 반응 경험자), 목마름, 설사, 구역, 구토, 식욕부진, 변비, 복부팽만, 배뇨곤란, 요저류(소변이 고임), 동공확대, 모양근마비, 조절장애(고도원시환자), 불안, 흥분, 환각, 두통, 머리 무거움, 이상고열, 예기치 못한 복통의 지속 또는 악화, 장운동의 변화, 복부압통(누르는 통증), 혈압 저하, 실신 및 혈변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
0108800742000519,오펠 뮤코펙트정 10T,"3,000",0742000519,0742,0005,8800742000519,8800742000519,07420005,OK,200900740,OK,"이 약은 점액분비장애로 인한 급·만성기관지염, 천식성기관지염에 사용합니다.",성인은 1회 1정(30 mg)씩 1일 3회 식사와 관계없이 복용합니다.계속 치료시 1회 1정(30 mg)씩 1일 2회 복용합니다.,,"에리트로마이신, 세팔렉신, 옥시테트라사이클린, 아목시실린, 세퓨록심, 독시사이클린 등의 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.","피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군) 같은 심각한 피부 손상, 열, 가려움, 비염, 기침 및 인후염과 같은 비특이적 인플루엔자-유사 전구증상, 흔하게 구역, 흔하지 않게 구토, 설사, 소화불량, 복통, 가슴쓰림, 구강건조, 위부불쾌감, 위·복부팽만감, 변비, 식욕부진, 두드러기, 피부 발진, 아나필락시스 반응(아나필락시스 쇼크 포함), 두드러기모양 홍반, 혈관부종, 가려움, 기타 다른 과민반응, 얼굴부기, 호흡곤란, 오한을 수반한 체온상승, 백혈구 증가를 수반하는 화농성 비염, 혀의 감각이상, 미각변화, 구내마비감, 팔의 마비감 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
0108800742000625,둘코락스에스 5mg 40T,"11,000",0742000625,0742,0006,8800742000625,8800742000625,07420006,OK,200906478,OK,"이 약은 변비와 변비에 수반하는 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질의 완화에 사용합니다.","만 15세 이상은 1회 2정, 만 11 이상~만 15세 미만은 1회 1~2정, 만 7세 이상~만 11세 미만은 1회 1정, 1일 1회 취침 시에 복용합니다.다만, 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.",,"제산제, 우유 섭취 후 1시간 이내, 미네랄 오일을 함께 복용하지 마십시오.이뇨제나 부신피질호르몬제, 다른 완화제를 함께 복용 시 의사 또는 약사와 상의하십시오.","발진ㆍ충혈되어 붉어짐, 가려움, 심한 복통(배 아픔), 설사, 구토, 복부(배부분)불쾌감, 경련, 아나필락시스 반응, 혈관 부종, 과민반응, 탈수, 복부(배부분) 경련, 오심, 혈변, 직장과 항문의 불쾌감, 대장염(허혈성 대장염 포함), 어지러움, 실신이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
0108800742000816,둘코락스좌약 5S 5개,"3,000",0742000816,0742,0008,8800742000816,8800742000816,07420008,OK,200512347,OK,"이 약은 급·만성변비, 수술·분만전후 및 X-선 촬영 시 장내분변 제거에 사용합니다.
","성인은 1회 1개(10 mg)씩, 만 6세~만 12세 소아는 1회 ½개(5 mg)씩, 1일 1회 필요 시 항문에 삽입합니다.

연령, 증상에 따라 적절히 증감합니다.
",,"다른 완하제와 함께 투여 시 의사 또는 약사와 상의하십시오.
","직장출혈 또는 배변의 실패 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

혈변, 어지러움, 실신, 복부통증, 설사, 아나필락시스반응, 혈관신경성부종(부기), 다른 과민반응, 탈수증, 복부 경련, 구역, 복부 불쾌감, 대장염(허헐성 대장염 포함), 배뇨감, 두통, 요통, 항문주위피부염, 직장열감, 항문부동통, 항문출혈, 항문직장 불쾌감이 나타날 수 있습니다.
","실온에서 보관하십시오.
"
0108800742000830,둘코락스좌약10mg(신) 50S,"15,000",0742000830,0742,0008,8800742000830,8800742000830,07420008,OK,200512347,OK,"이 약은 급·만성변비, 수술·분만전후 및 X-선 촬영 시 장내분변 제거에 사용합니다.
","성인은 1회 1개(10 mg)씩, 만 6세~만 12세 소아는 1회 ½개(5 mg)씩, 1일 1회 필요 시 항문에 삽입합니다.

연령, 증상에 따라 적절히 증감합니다.
",,"다른 완하제와 함께 투여 시 의사 또는 약사와 상의하십시오.
","직장출혈 또는 배변의 실패 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

혈변, 어지러움, 실신, 복부통증, 설사, 아나필락시스반응, 혈관신경성부종(부기), 다른 과민반응, 탈수증, 복부 경련, 구역, 복부 불쾌감, 대장염(허헐성 대장염 포함), 배뇨감, 두통, 요통, 항문주위피부염, 직장열감, 항문부동통, 항문출혈, 항문직장 불쾌감이 나타날 수 있습니다.
","실온에서 보관하십시오.
"
