바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,업체코드,검증번호,상태
01088000156009101,히딩크프리미엄 OK동전통증패치 105매,"12,000",00156009101,0015,60091,8800015600910 ,8800015600910 ,001560091,0015,0,OK
0108800026200031,노즈스위퍼 코세척기,"9,000",0026200031,0026,20003,8800026200031 ,8800026200031 ,002620003,0026,1,OK
0108800026200048,노즈스위퍼 코세정분말 60P,"6,000",0026200048,0026,20004,8800026200048 ,8800026200048 ,002620004,0026,8,OK
0108800048007793,하이맘밴드 에이지썬프로텍션 2매,"9,000",0048007793,0048,00779,8800048007793 ,8800048007793 ,004800779,0048,3,OK
0108800048010250,하이맘번 잘라쓰는타입 1매(7 x 10cm),"10,000",0048010250,0048,01025,8800048010250 ,8800048010250 ,004801025,0048,0,OK
0108800048012858,하이맘폼 에이프리 잘라쓰는타입 1매,"9,000",0048012858,0048,01285,8800048012858 ,8800048012858 ,004801285,0048,8,OK
0108800243820142,무통사혈침(DE-ST01),"5,000",0243820142,0243,82014,8800243820142 ,8800243820142 ,024382014,0243,2,OK
0108800516000417,드리클로 20ml,"11,000",0516000417,0516,00041,8800516000417 ,8800516000417 ,051600041,0516,7,OK
0108800742000212,부스코판 플러스정 10정,"3,300",0742000212,0742,00021,8800742000212 ,8800742000212 ,074200021,0742,2,OK
0108800742000519,오펠 뮤코펙트정 10T,"3,000",0742000519,0742,00051,8800742000519 ,8800742000519 ,074200051,0742,9,OK
0108800742000625,둘코락스에스 5mg 40T,"11,000",0742000625,0742,00062,8800742000625 ,8800742000625 ,074200062,0742,5,OK
0108800742000816,둘코락스좌약 5S 5개,"3,000",0742000816,0742,00081,8800742000816 ,8800742000816 ,074200081,0742,6,OK
0108800742000830,둘코락스좌약10mg(신) 50S,"15,000",0742000830,0742,00083,8800742000830 ,8800742000830 ,074200083,0742,0,OK
01088060520040221727121410G8900521G890050000001479,조아바이톤-에이 20ml x 30P,"140,000",605200402217271214108900521890050000001479,6052,00402,880605200402217271214108900521890050000001479,8806052004022 ,605200402,6052,2,OK
010880605242891017,에스리버(180T*2EA),"63,000",6.05243E+11,6052,42891,8806052428910 ,8806052428910 ,605242891,6052,0,OK
0108806218001912,에치탑캡슐,"2,000",6218001912,6218,00191,8806218001912 ,8806218001912 ,621800191,6218,2,OK
0108806218004517,[파비스] 아루진 10T,"1,500",6218004517,6218,00451,8806218004517 ,8806218004517 ,621800451,6218,7,OK
0108806218039410,파비시드10정[광동],"2,000",6218039410,6218,03941,8806218039410 ,8806218039410 ,621803941,6218,0,OK
0108806265003112,노스카나 20g,"17,000",6265003112,6265,00311,8806265003112 ,8806265003112 ,626500311,6265,2,OK
0108806265018215,애크린겔 20g,"10,000",6265018215,6265,01821,8806265018215 ,8806265018215 ,626501821,6265,5,OK
0108806265021512,노스카딘 겔 18g,"12,000",6265021512,6265,02151,8806265021512 ,8806265021512 ,626502151,6265,2,OK
0108806275002518,안티렌크림 30g,"4,000",6275002518,6275,00251,8806275002518 ,8806275002518 ,627500251,6275,8,OK
0108806409047910,프틴 크림 30g,"5,000",6409047910,6409,04791,8806409047910 ,8806409047910 ,640904791,6409,0,OK
0108806409048313,반질크림(우레아) 60g,"4,000",6409048313,6409,04831,8806409048313 ,8806409048313 ,640904831,6409,3,OK
0108806417011514,알콤정 4T,"3,000",6417011514,6417,01151,8806417011514 ,8806417011514 ,641701151,6417,4,OK
0108806417021629,[일양] 진코텔정 200T,"40,000",6417021629,6417,02162,8806417021629 ,8806417021629 ,641702162,6417,9,OK
0108806417025016,프로엑스피 20ml x 5V,"20,000",6417025016,6417,02501,8806417025016 ,8806417025016 ,641702501,6417,6,OK
0108806417028222,속콜큐어 캡슐 10C,"2,000",6417028222,6417,02822,8806417028222 ,8806417028222 ,641702822,6417,2,OK
0108806417042310,속콜코프엘 10C,"2,000",6417042310,6417,04231,8806417042310 ,8806417042310 ,641704231,6417,0,OK
0108806417043713,혈강고 6P,"3,000",6417043713,6417,04371,8806417043713 ,8806417043713 ,641704371,6417,3,OK
0108806417046424,노루모 듀얼액션 10ml x 4P,"3,000",6417046424,6417,04642,8806417046424 ,8806417046424 ,641704642,6417,4,OK
0108806417046448,노루모 듀얼액션 10ml x 10P,"7,000",6417046448,6417,04644,8806417046448 ,8806417046448 ,641704644,6417,8,OK
0108806417047827,속콜기가 10C,"2,000",6417047827,6417,04782,8806417047827 ,8806417047827 ,641704782,6417,7,OK
0108806417048619,노루모 에프 내복액 75ml,700,6417048619,6417,04861,8806417048619 ,8806417048619 ,641704861,6417,9,OK
0108806417051022,노루모 에스 15P,"3,000",6417051022,6417,05102,8806417051022 ,8806417051022 ,641705102,6417,2,OK
0108806417051114,노루모 에이스산 250g,"4,500",6417051114,6417,05111,8806417051114 ,8806417051114 ,641705111,6417,4,OK
0108806417051510,보나링 츄어블 4T,"2,000",6417051510,6417,05151,8806417051510 ,8806417051510 ,641705151,6417,0,OK
0108806417052616,두피나액 30ml,"5,000",6417052616,6417,05261,8806417052616 ,8806417052616 ,641705261,6417,6,OK
0108806417057710,황력골드 100ml,"2,000",6417057710,6417,05771,8806417057710 ,8806417057710 ,641705771,6417,0,OK
0108806417057819,애린쏙 10T,"2,000",6417057819,6417,05781,8806417057819 ,8806417057819 ,641705781,6417,9,OK
0108806417058311,아네린 10T,"2,000",6417058311,6417,05831,8806417058311 ,8806417058311 ,641705831,6417,1,OK
0108806417063117,카네클로 질정 6T,"2,500",6417063117,6417,06311,8806417063117 ,8806417063117 ,641706311,6417,7,OK
0108806417063810,크로아존엔정 10T,"2,000",6417063810,6417,06381,8806417063810 ,8806417063810 ,641706381,6417,0,OK
0108806417063919,장제로큐 장용정 20T,"2,500",6417063919,6417,06391,8806417063919 ,8806417063919 ,641706391,6417,9,OK
0108806417064725,위제로 유쾌 12g x 3P,"3,000",6417064725,6417,06472,8806417064725 ,8806417064725 ,641706472,6417,5,OK
0108806417064817,알레드제로 120mg 10T,"3,000",6417064817,6417,06481,8806417064817 ,8806417064817 ,641706481,6417,7,OK
0108806418051915,센스리베 21T,"7,000",6418051915,6418,05191,8806418051915 ,8806418051915 ,641805191,6418,5,OK
0108806418057535,레돌민 20T,"12,000",6418057535,6418,05753,8806418057535 ,8806418057535 ,641805753,6418,5,OK
0108806418062638,아이톡 0.5ml x 30관,"7,000",6418062638,6418,06263,8806418062638 ,8806418062638 ,641806263,6418,8,OK
0108806418067510,[광동] 벤포파워Z 100ml,"2,000",6418067510,6418,06751,8806418067510 ,8806418067510 ,641806751,6418,0,OK
0108806418072811,아이톡쿨 점안액 쿨 14ml,"3,500",6418072811,6418,07281,8806418072811 ,8806418072811 ,641807281,6418,1,OK
